lineage,scorpio_call,Date
B.1.1.7,Alpha (B.1.1.7-like),2021-04-23
B.1.1.7,Alpha (B.1.1.7-like),2021-04-23
B.1.1.7,Alpha (B.1.1.7-like),2021-04-23
B.1.1.7,Alpha (B.1.1.7-like),2021-04-23
B.1.1.7,Alpha (B.1.1.7-like),2021-04-23
B.1.1.7,Alpha (B.1.1.7-like),2021-04-23
B.1.1.7,Alpha (B.1.1.7-like),2021-04-24
B.1.1.7,Alpha (B.1.1.7-like),2021-04-24
B.1.1.7,Alpha (B.1.1.7-like),2021-04-25
B.1.1.7,Alpha (B.1.1.7-like),2021-04-26
B.1.1.7,Alpha (B.1.1.7-like),2021-04-26
B.1.1.7,Alpha (B.1.1.7-like),2021-04-26
B.1.1.7,Alpha (B.1.1.7-like),2021-04-26
B.1.1,NA,2021-04-26
R.1,NA,2021-04-26
B.1.1.7,Alpha (B.1.1.7-like),2021-04-26
B.1.1.7,Alpha (B.1.1.7-like),2021-04-26
B.1.1.7,Alpha (B.1.1.7-like),2021-04-26
R.1,NA,2021-04-26
B.1.1.7,Alpha (B.1.1.7-like),2021-04-26
B.1.1.7,Alpha (B.1.1.7-like),2021-04-26
B.1,NA,2021-04-27
B.1.1.7,NA,2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
B.1.1,NA,2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
B.1.1,NA,2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
R.1,NA,2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
R.1,NA,2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
B.1.1.7,Alpha (B.1.1.7-like),2021-04-27
R.1,NA,2021-04-28
R.1,NA,2021-04-28
B.1.1,NA,2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
R.1,NA,2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-28
B.1.1.7,Alpha (B.1.1.7-like),2021-04-29
B.1.1.7,Alpha (B.1.1.7-like),2021-04-29
B.1.1.7,Alpha (B.1.1.7-like),2021-04-29
B.1.1.7,Alpha (B.1.1.7-like),2021-04-29
B.1.1.7,Alpha (B.1.1.7-like),2021-04-30
B.1.1.7,Alpha (B.1.1.7-like),2021-04-30
R.1,NA,2021-05-01
B.1.1.7,Alpha (B.1.1.7-like),2021-05-01
B.1.1.7,Alpha (B.1.1.7-like),2021-05-01
B.1.1.7,Alpha (B.1.1.7-like),2021-05-02
B.1.1.7,Alpha (B.1.1.7-like),2021-05-02
B.1.1.7,Alpha (B.1.1.7-like),2021-05-03
B.1.1.7,Alpha (B.1.1.7-like),2021-05-04
R.1,NA,2021-05-04
B.1.1.7,Alpha (B.1.1.7-like),2021-05-04
R.1,NA,2021-05-04
B.1.1.7,NA,2021-05-04
B.1.1,NA,2021-05-04
B.1.1.7,Alpha (B.1.1.7-like),2021-05-05
B.1.1.7,Alpha (B.1.1.7-like),2021-05-05
B.1.1.7,Alpha (B.1.1.7-like),2021-05-05
B.1.1.7,Alpha (B.1.1.7-like),2021-05-05
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-06
B.1.1.7,Alpha (B.1.1.7-like),2021-05-07
B.1.1.7,Alpha (B.1.1.7-like),2021-05-07
B.1.1.7,Alpha (B.1.1.7-like),2021-05-07
B.1.1.7,Alpha (B.1.1.7-like),2021-05-07
B.1.1.7,Alpha (B.1.1.7-like),2021-05-08
B.1.1.7,Alpha (B.1.1.7-like),2021-05-08
B.1.1.7,Alpha (B.1.1.7-like),2021-05-08
B.1.1.7,Alpha (B.1.1.7-like),2021-05-09
B.1.1.7,NA,2021-05-09
B.1.1.7,Alpha (B.1.1.7-like),2021-05-09
B.1.1.7,Alpha (B.1.1.7-like),2021-05-09
B.1.1.7,Alpha (B.1.1.7-like),2021-05-10
B.1.1.7,Alpha (B.1.1.7-like),2021-05-10
B.1.1.7,Alpha (B.1.1.7-like),2021-05-10
R.1,NA,2021-05-10
B.1.1.7,Alpha (B.1.1.7-like),2021-05-10
B.1.1.7,Alpha (B.1.1.7-like),2021-05-10
B.1.1.7,Alpha (B.1.1.7-like),2021-05-11
B.1.1.7,Alpha (B.1.1.7-like),2021-05-11
B.1.1.7,Alpha (B.1.1.7-like),2021-05-11
B.1.1.7,Alpha (B.1.1.7-like),2021-05-11
B.1.1.7,Alpha (B.1.1.7-like),2021-05-11
B.1.1.7,Alpha (B.1.1.7-like),2021-05-12
B.1.1.7,Alpha (B.1.1.7-like),2021-05-12
B.1.1.7,Alpha (B.1.1.7-like),2021-05-12
B.1.1.7,Alpha (B.1.1.7-like),2021-05-13
B.1.1.7,Alpha (B.1.1.7-like),2021-05-13
B.1.1.7,Alpha (B.1.1.7-like),2021-05-13
B.1.1.7,Alpha (B.1.1.7-like),2021-05-13
B.1.1.7,Alpha (B.1.1.7-like),2021-05-15
B.1.1.7,NA,2021-05-16
B.1.1.7,Alpha (B.1.1.7-like),2021-05-16
B.1.1.7,Alpha (B.1.1.7-like),2021-05-17
B.1.1.7,Alpha (B.1.1.7-like),2021-05-17
B.1.1.7,Alpha (B.1.1.7-like),2021-05-17
B.1.1.7,Alpha (B.1.1.7-like),2021-05-18
B.1.1.7,Alpha (B.1.1.7-like),2021-05-19
B.1.1.7,Alpha (B.1.1.7-like),2021-05-19
B.1.1.7,Alpha (B.1.1.7-like),2021-05-20
B.1.1.7,Alpha (B.1.1.7-like),2021-05-20
B.1.1.7,Alpha (B.1.1.7-like),2021-05-20
B.1.1.7,Alpha (B.1.1.7-like),2021-05-20
B.1.1.7,Alpha (B.1.1.7-like),2021-05-20
B.1.1.7,Alpha (B.1.1.7-like),2021-05-20
B.1.1.7,Alpha (B.1.1.7-like),2021-05-20
B.1.1.7,Alpha (B.1.1.7-like),2021-05-20
B.1.1.7,Alpha (B.1.1.7-like),2021-05-20
B.1.1.7,Alpha (B.1.1.7-like),2021-05-21
R.1,NA,2021-05-21
B.1.1.7,Alpha (B.1.1.7-like),2021-05-21
B.1.1.7,Alpha (B.1.1.7-like),2021-05-21
B.1.1.7,Alpha (B.1.1.7-like),2021-05-21
B.1.1.7,Alpha (B.1.1.7-like),2021-05-21
B.1.1.7,Alpha (B.1.1.7-like),2021-05-21
B.1.1.7,Alpha (B.1.1.7-like),2021-05-24
B.1.1.7,Alpha (B.1.1.7-like),2021-05-24
B.1.1.7,Alpha (B.1.1.7-like),2021-05-24
B.1.1.7,Alpha (B.1.1.7-like),2021-05-24
B.1.1.7,Alpha (B.1.1.7-like),2021-05-24
B.1.1.7,Alpha (B.1.1.7-like),2021-05-25
B.1.1.7,Alpha (B.1.1.7-like),2021-05-25
B.1.617.2,Delta (B.1.617.2-like),2021-05-25
B.1.1.7,Alpha (B.1.1.7-like),2021-05-26
B.1.1.7,Alpha (B.1.1.7-like),2021-05-26
B.1.1.7,Alpha (B.1.1.7-like),2021-05-27
B.1.1.7,Alpha (B.1.1.7-like),2021-05-27
B.1.1.7,Alpha (B.1.1.7-like),2021-05-27
B.1.1.7,Alpha (B.1.1.7-like),2021-05-27
B.1.1.7,Alpha (B.1.1.7-like),2021-05-27
B.1.1.7,Alpha (B.1.1.7-like),2021-05-28
B.1.1.7,Alpha (B.1.1.7-like),2021-05-29
B.1.1.7,Alpha (B.1.1.7-like),2021-05-29
B.1.1.7,Alpha (B.1.1.7-like),2021-05-31
B.1.1.7,Alpha (B.1.1.7-like),2021-06-01
AY.1,Delta (B.1.617.2-like) +K417N,2021-06-02
B.1.1.7,Alpha (B.1.1.7-like),2021-06-03
B.1.1.7,Alpha (B.1.1.7-like),2021-06-04
B.1.1.7,Alpha (B.1.1.7-like),2021-06-05
B.1.1.7,Alpha (B.1.1.7-like),2021-06-07
B.1.1.7,Alpha (B.1.1.7-like),2021-06-07
B.1.1.7,Alpha (B.1.1.7-like),2021-06-07
B.1.1.7,Alpha (B.1.1.7-like),2021-06-07
B.1.1.7,Alpha (B.1.1.7-like),2021-06-10
B.1.1.7,Alpha (B.1.1.7-like),2021-06-10
B.1.1.7,Alpha (B.1.1.7-like),2021-06-10
B.1.1.7,Alpha (B.1.1.7-like),2021-06-11
B.1.1.7,Alpha (B.1.1.7-like),2021-06-12
B.1.1.7,Alpha (B.1.1.7-like),2021-06-15
B.1.1.7,Alpha (B.1.1.7-like),2021-06-16
B.1.1.7,Alpha (B.1.1.7-like),2021-06-17
B.1.1.7,Alpha (B.1.1.7-like),2021-06-18
B.1.1.7,Alpha (B.1.1.7-like),2021-06-20
B.1.1.7,Alpha (B.1.1.7-like),2021-06-21
B.1.1.7,Alpha (B.1.1.7-like),2021-06-21
AY.29,Delta (B.1.617.2-like),2021-06-29
B.1.1.7,Alpha (B.1.1.7-like),2021-07-01
AY.29,Delta (B.1.617.2-like),2021-07-01
B.1.1.7,Alpha (B.1.1.7-like),2021-07-02
B.1.1.7,Alpha (B.1.1.7-like),2021-07-03
B.1.1.7,Alpha (B.1.1.7-like),2021-07-03
B.1.1.7,Alpha (B.1.1.7-like),2021-07-07
B.1.1.7,Alpha (B.1.1.7-like),2021-07-07
AY.29,Delta (B.1.617.2-like),2021-07-10
B.1.1.7,Alpha (B.1.1.7-like),2021-07-14
B.1.1.7,Alpha (B.1.1.7-like),2021-07-14
AY.29,Delta (B.1.617.2-like),2021-07-15
B.1.1.7,Alpha (B.1.1.7-like),2021-07-15
B.1.1.7,NA,2021-07-15
B.1.1.7,Alpha (B.1.1.7-like),2021-07-15
B.1.1.7,Alpha (B.1.1.7-like),2021-07-15
B.1.1.7,Alpha (B.1.1.7-like),2021-07-20
B.1.1.7,Alpha (B.1.1.7-like),2021-07-20
AY.29,Delta (B.1.617.2-like),2021-07-21
AY.29,Delta (B.1.617.2-like),2021-07-23
B.1.1.7,Alpha (B.1.1.7-like),2021-07-26
AY.29,Delta (B.1.617.2-like),2021-07-26
AY.29,Delta (B.1.617.2-like),2021-07-26
AY.29,Delta (B.1.617.2-like),2021-07-28
AY.29,Delta (B.1.617.2-like),2021-07-29
AY.29,Delta (B.1.617.2-like),2021-07-29
AY.29,Delta (B.1.617.2-like),2021-07-30
AY.29,Delta (B.1.617.2-like),2021-07-31
AY.29.1,Delta (B.1.617.2-like),2021-08-01
AY.29,Delta (B.1.617.2-like),2021-08-02
AY.29,Delta (B.1.617.2-like),2021-08-02
AY.29,Delta (B.1.617.2-like),2021-08-02
AY.29,Delta (B.1.617.2-like),2021-08-03
AY.29,Delta (B.1.617.2-like),2021-08-03
AY.29,Delta (B.1.617.2-like),2021-08-03
AY.29.1,Delta (B.1.617.2-like),2021-08-04
B.1.1.7,Alpha (B.1.1.7-like),2021-08-04
B.1.1.7,Alpha (B.1.1.7-like),2021-08-04
AY.29,Delta (B.1.617.2-like),2021-08-05
AY.29,Delta (B.1.617.2-like),2021-08-05
AY.29.1,Delta (B.1.617.2-like),2021-08-05
AY.29,Delta (B.1.617.2-like),2021-08-05
B.1.1.7,Alpha (B.1.1.7-like),2021-08-05
B.1.1.7,Alpha (B.1.1.7-like),2021-08-05
AY.29,Delta (B.1.617.2-like),2021-08-05
AY.29,Delta (B.1.617.2-like),2021-08-06
AY.29,Delta (B.1.617.2-like),2021-08-06
AY.29,Delta (B.1.617.2-like),2021-08-06
AY.29,Delta (B.1.617.2-like),2021-08-07
AY.29,Delta (B.1.617.2-like),2021-08-07
B.1.1.7,Alpha (B.1.1.7-like),2021-08-08
B.1.1.7,Alpha (B.1.1.7-like),2021-08-08
AY.29,Delta (B.1.617.2-like),2021-08-09
B.1.1.7,Alpha (B.1.1.7-like),2021-08-09
AY.29,Delta (B.1.617.2-like),2021-08-10
AY.29,Delta (B.1.617.2-like),2021-08-10
AY.29,Delta (B.1.617.2-like),2021-08-10
AY.29,Delta (B.1.617.2-like),2021-08-10
AY.29,Delta (B.1.617.2-like),2021-08-10
AY.29,Delta (B.1.617.2-like),2021-08-11
AY.29,Delta (B.1.617.2-like),2021-08-11
AY.29,Delta (B.1.617.2-like),2021-08-11
AY.29,Delta (B.1.617.2-like),2021-08-12
AY.29,Delta (B.1.617.2-like),2021-08-12
AY.29,Delta (B.1.617.2-like),2021-08-12
AY.29,Delta (B.1.617.2-like),2021-08-12
AY.29,Delta (B.1.617.2-like),2021-08-12
AY.29,Delta (B.1.617.2-like),2021-08-12
AY.29,Delta (B.1.617.2-like),2021-08-13
AY.29,Delta (B.1.617.2-like),2021-08-13
AY.29,Delta (B.1.617.2-like),2021-08-13
AY.29,Delta (B.1.617.2-like),2021-08-13
AY.29,Delta (B.1.617.2-like),2021-08-13
AY.29,Delta (B.1.617.2-like),2021-08-13
AY.29,Delta (B.1.617.2-like),2021-08-13
AY.29,Delta (B.1.617.2-like),2021-08-13
AY.29,Delta (B.1.617.2-like),2021-08-13
AY.29,Delta (B.1.617.2-like),2021-08-14
AY.29,Delta (B.1.617.2-like),2021-08-14
AY.29,Delta (B.1.617.2-like),2021-08-14
AY.29,Delta (B.1.617.2-like),2021-08-14
AY.29,Delta (B.1.617.2-like),2021-08-14
AY.29,Delta (B.1.617.2-like),2021-08-15
AY.29,Delta (B.1.617.2-like),2021-08-15
AY.29,Delta (B.1.617.2-like),2021-08-16
AY.29,Delta (B.1.617.2-like),2021-08-16
AY.29,Delta (B.1.617.2-like),2021-08-16
AY.29,Delta (B.1.617.2-like),2021-08-17
AY.29,Delta (B.1.617.2-like),2021-08-17
AY.29,Delta (B.1.617.2-like),2021-08-17
AY.29,Delta (B.1.617.2-like),2021-08-17
AY.29,Delta (B.1.617.2-like),2021-08-17
AY.29,Delta (B.1.617.2-like),2021-08-17
AY.29.1,Delta (B.1.617.2-like),2021-08-17
AY.29,Delta (B.1.617.2-like),2021-08-18
AY.29,Delta (B.1.617.2-like),2021-08-18
AY.29,Delta (B.1.617.2-like),2021-08-18
AY.29,Delta (B.1.617.2-like),2021-08-18
AY.29,Delta (B.1.617.2-like),2021-08-18
AY.29,Delta (B.1.617.2-like),2021-08-18
AY.29,Delta (B.1.617.2-like),2021-08-18
B.1.1.7,Alpha (B.1.1.7-like),2021-08-18
AY.29,Delta (B.1.617.2-like),2021-08-19
AY.29,Delta (B.1.617.2-like),2021-08-19
AY.29,Delta (B.1.617.2-like),2021-08-19
AY.29,Delta (B.1.617.2-like),2021-08-19
AY.29,Delta (B.1.617.2-like),2021-08-19
AY.29,Delta (B.1.617.2-like),2021-08-19
AY.29,Delta (B.1.617.2-like),2021-08-20
AY.29,Delta (B.1.617.2-like),2021-08-20
AY.29,Delta (B.1.617.2-like),2021-08-20
AY.29,Delta (B.1.617.2-like),2021-08-20
AY.29,Delta (B.1.617.2-like),2021-08-20
AY.29,Delta (B.1.617.2-like),2021-08-20
AY.29,Delta (B.1.617.2-like),2021-08-20
AY.29,Delta (B.1.617.2-like),2021-08-20
AY.29,Delta (B.1.617.2-like),2021-08-20
AY.29.1,Delta (B.1.617.2-like),2021-08-20
AY.29,Delta (B.1.617.2-like),2021-08-21
AY.29,Delta (B.1.617.2-like),2021-08-21
AY.29,Delta (B.1.617.2-like),2021-08-21
AY.29,Delta (B.1.617.2-like),2021-08-22
AY.29,Delta (B.1.617.2-like),2021-08-22
AY.29,Delta (B.1.617.2-like),2021-08-22
AY.29,Delta (B.1.617.2-like),2021-08-23
AY.29,Delta (B.1.617.2-like),2021-08-23
AY.29,Delta (B.1.617.2-like),2021-08-23
AY.29,Delta (B.1.617.2-like),2021-08-24
AY.29,Delta (B.1.617.2-like),2021-08-24
AY.29,Delta (B.1.617.2-like),2021-08-24
AY.29,Delta (B.1.617.2-like),2021-08-24
AY.29,Delta (B.1.617.2-like),2021-08-25
AY.29,Delta (B.1.617.2-like),2021-08-25
AY.29,Delta (B.1.617.2-like),2021-08-25
AY.29,Delta (B.1.617.2-like),2021-08-25
AY.29,Delta (B.1.617.2-like),2021-08-25
AY.29,Delta (B.1.617.2-like),2021-08-26
AY.29,Delta (B.1.617.2-like),2021-08-26
AY.29,Delta (B.1.617.2-like),2021-08-26
AY.29,Delta (B.1.617.2-like),2021-08-26
AY.29,Delta (B.1.617.2-like),2021-08-26
AY.29,Delta (B.1.617.2-like),2021-08-26
AY.29,Delta (B.1.617.2-like),2021-08-27
AY.29,Delta (B.1.617.2-like),2021-08-27
AY.29,Delta (B.1.617.2-like),2021-08-27
AY.29,Delta (B.1.617.2-like),2021-08-27
AY.29,Delta (B.1.617.2-like),2021-08-27
AY.29,Delta (B.1.617.2-like),2021-08-27
AY.29,Delta (B.1.617.2-like),2021-08-27
AY.29,Delta (B.1.617.2-like),2021-08-27
AY.29,Delta (B.1.617.2-like),2021-08-27
AY.29.1,Delta (B.1.617.2-like),2021-08-28
AY.29,Delta (B.1.617.2-like),2021-08-28
AY.29,Delta (B.1.617.2-like),2021-08-28
AY.29,Delta (B.1.617.2-like),2021-08-29
AY.29,Delta (B.1.617.2-like),2021-08-29
AY.29,Delta (B.1.617.2-like),2021-08-29
AY.29,Delta (B.1.617.2-like),2021-08-30
AY.29,Delta (B.1.617.2-like),2021-08-30
AY.29.1,Delta (B.1.617.2-like),2021-08-30
AY.29,Delta (B.1.617.2-like),2021-08-30
AY.29,Delta (B.1.617.2-like),2021-08-30
AY.29,Delta (B.1.617.2-like),2021-08-31
AY.29,Delta (B.1.617.2-like),2021-09-01
AY.29,Delta (B.1.617.2-like),2021-09-03
AY.29,Delta (B.1.617.2-like),2021-09-28
AY.29.2,Delta (B.1.617.2-like),2021-09-28
AY.29.2,Delta (B.1.617.2-like),2021-09-28
AY.29,Delta (B.1.617.2-like),2021-10-01
AY.29,Delta (B.1.617.2-like),2021-10-01
AY.29,Delta (B.1.617.2-like),2021-10-02
AY.29,Delta (B.1.617.2-like),2021-10-04
AY.29,Delta (B.1.617.2-like),2021-10-05
AY.29,Delta (B.1.617.2-like),2021-10-06
AY.29.1,Delta (B.1.617.2-like),2021-10-11
B.1.617.2,Delta (B.1.617.2-like),2021-10-13
AY.29,Delta (B.1.617.2-like),2021-12-08
AY.29,Delta (B.1.617.2-like),2021-12-18
AY.29,Delta (B.1.617.2-like),2021-12-21
AY.29.2,Delta (B.1.617.2-like),2022-01-05
BA.1.1.2,Omicron (BA.1-like),2022-01-09
BA.1.1.2,Omicron (BA.1-like),2022-01-10
BA.1.15,Omicron (BA.1-like),2022-01-10
BA.1.1.2,Omicron (BA.1-like),2022-01-11
BA.1.1.2,Omicron (BA.1-like),2022-01-11
BA.1.1.2,Omicron (BA.1-like),2022-01-11
BA.1.1.2,Omicron (BA.1-like),2022-01-11
BA.1.1.2,Omicron (BA.1-like),2022-01-11
BA.1.1.2,Omicron (BA.1-like),2022-01-11
BA.1.1.2,Omicron (BA.1-like),2022-01-12
BA.1.1.2,Omicron (BA.1-like),2022-01-12
BA.1.1.2,Omicron (BA.1-like),2022-01-12
BA.1.1.2,Omicron (BA.1-like),2022-01-12
BA.1.1.2,Omicron (BA.1-like),2022-01-13
BA.1.1.2,Omicron (BA.1-like),2022-01-14
BA.1.1.2,Omicron (BA.1-like),2022-01-15
BA.1.1.2,Omicron (BA.1-like),2022-01-15
BA.1.1.2,Omicron (BA.1-like),2022-01-16
BA.1.1.2,Omicron (BA.1-like),2022-01-17
BA.1.1.2,Omicron (BA.1-like),2022-01-17
BA.1.1.2,Omicron (BA.1-like),2022-01-17
BA.1.1.2,Omicron (BA.1-like),2022-01-18
BA.1.1,Omicron (BA.1-like),2022-01-19
BA.1.1.2,Omicron (BA.1-like),2022-01-19
BA.1.1.2,Omicron (BA.1-like),2022-01-19
BA.1.1.2,Omicron (BA.1-like),2022-01-19
BC.1,Omicron (BA.1-like),2022-01-19
BC.1,Omicron (BA.1-like),2022-01-19
BA.1.1.2,Omicron (BA.1-like),2022-01-20
BA.1.1.2,Omicron (BA.1-like),2022-01-20
BA.1.1.2,Omicron (BA.1-like),2022-01-20
BA.1.1.2,Omicron (BA.1-like),2022-01-20
BA.1.1.2,Omicron (BA.1-like),2022-01-20
BA.1.1.2,Omicron (BA.1-like),2022-01-20
BC.1,Omicron (BA.1-like),2022-01-20
BA.1.1.2,Omicron (BA.1-like),2022-01-20
BA.1.1.2,Omicron (BA.1-like),2022-01-21
BA.1.1.2,Omicron (BA.1-like),2022-01-21
BA.1.1.2,Omicron (BA.1-like),2022-01-21
BA.1.1.2,Omicron (BA.1-like),2022-01-21
BA.1.1,Omicron (BA.1-like),2022-01-21
BA.1.1.2,Omicron (BA.1-like),2022-01-21
BA.1.1.2,Omicron (BA.1-like),2022-01-21
BA.1.1.2,Omicron (BA.1-like),2022-01-21
BA.1.1.2,Omicron (BA.1-like),2022-01-21
BA.1.1.2,Omicron (BA.1-like),2022-01-21
BA.1.1.2,Omicron (BA.1-like),2022-01-21
BA.1.1.2,Omicron (BA.1-like),2022-01-21
BA.1.1.2,Omicron (BA.1-like),2022-01-22
BA.1.1.2,Omicron (BA.1-like),2022-01-23
BA.1.1.2,Omicron (BA.1-like),2022-01-23
BA.1.1.2,Omicron (BA.1-like),2022-01-23
BA.1.1,Omicron (BA.1-like),2022-01-23
BA.1.1.2,Omicron (BA.1-like),2022-01-24
BA.1.1.2,Omicron (BA.1-like),2022-01-24
BA.1.1.2,Omicron (BA.1-like),2022-01-24
BA.1.1.2,Omicron (BA.1-like),2022-01-24
BA.1.1.2,Omicron (BA.1-like),2022-01-24
BA.1.1.2,Omicron (BA.1-like),2022-01-24
BA.1.1.2,Omicron (BA.1-like),2022-01-24
BA.1.1.2,Omicron (BA.1-like),2022-01-24
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1,Omicron (BA.1-like),2022-01-25
BA.1.1,Omicron (BA.1-like),2022-01-25
BC.1,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-25
BA.1.1.2,Omicron (BA.1-like),2022-01-26
BA.1.1.2,Omicron (BA.1-like),2022-01-26
BC.1,Omicron (BA.1-like),2022-01-26
BC.1,Omicron (BA.1-like),2022-01-26
BA.1.1.2,Omicron (BA.1-like),2022-01-26
BA.1.1.2,Omicron (BA.1-like),2022-01-26
