Date,Samples,Positive.samples
2022-08-05,6820,74
2022-08-06,3623,133
2022-08-07,2641,108
2022-08-08,7243,115
2022-08-09,5767,186
2022-08-10,8822,146
2022-08-11,7076,50
2022-08-12,7618,177
2022-08-13,2482,33
2022-08-14,2147,176
2022-08-15,4956,191
2022-08-16,4013,154
2022-08-17,4780,46
2022-08-18,11447,248
2022-08-19,8259,143
2022-08-20,4225,62
2022-08-21,2651,81
2022-08-22,7218,214
2022-08-23,6136,65
2022-08-24,8841,197
2022-08-25,13859,83
2022-08-26,12342,183
2022-08-27,4301,38
2022-08-28,2142,62
2022-08-29,3457,72
2022-08-30,3529,114
2022-08-31,4162,27
2022-09-01,8159,101
2022-09-02,3488,56
2022-09-03,1720,23
2022-09-04,1533,40
2022-09-05,4493,39
2022-09-06,4929,34
2022-09-07,7122,30
2022-09-08,10613,45
2022-09-09,4885,24
2022-09-10,2022,10
2022-09-11,1586,10
2022-09-12,5208,22
2022-09-13,6652,24
2022-09-14,9075,22
2022-09-15,13151,40
2022-09-16,6977,20
2022-09-17,1931,15
2022-09-18,1993,3
2022-09-19,1664,3
2022-09-20,4833,18
2022-09-21,6591,15
2022-09-22,11623,26
2022-09-23,3807,7
2022-09-24,1541,7
2022-09-25,1177,4
2022-09-26,5243,11
2022-09-27,8031,22
2022-09-28,10901,13
2022-09-29,10326,18
2022-09-30,8584,13
2022-10-01,1920,9
2022-10-02,1164,4
2022-10-03,1640,8
2022-10-04,3189,2
2022-10-05,5784,6
2022-10-06,6926,8
2022-10-07,4466,7
2022-10-08,1147,1
2022-10-09,1161,2
2022-10-10,1364,6
2022-10-11,3618,4
2022-10-12,4378,10
2022-10-13,11010,11
2022-10-14,8311,12
2022-10-15,1845,1
2022-10-16,1646,2
2022-10-17,4577,5
2022-10-18,5543,8
2022-10-19,6271,5
2022-10-20,10975,11
2022-10-21,7595,13
2022-10-22,2248,6
2022-10-23,1581,5
2022-10-24,2620,9
2022-10-25,3076,10
2022-10-26,8262,13
2022-10-27,12109,18
2022-10-28,9380,16
2022-10-29,3338,6
2022-10-30,2664,13
2022-10-31,1516,7
2022-11-01,1845,16
2022-11-02,3065,10
2022-11-03,2510,5
2022-11-04,2396,10
2022-11-05,1315,14
2022-11-06,1676,5
2022-11-07,2013,14
2022-11-08,3887,13
2022-11-09,7122,23
2022-11-10,7744,17
2022-11-11,5159,19
2022-11-12,2251,14
2022-11-13,1622,5
2022-11-14,4050,18
2022-11-15,3655,15
2022-11-16,4651,30
2022-11-17,6052,44
2022-11-18,4676,17
2022-11-19,1897,17
2022-11-20,653,5
2022-11-21,3036,14
2022-11-22,3539,22
2022-11-23,4556,20
2022-11-24,5254,32
2022-11-25,4865,41
2022-11-26,1994,11
2022-11-27,1657,11
2022-11-28,2562,19
2022-11-29,2154,17
2022-11-30,2130,30
2022-12-01,3218,19
2022-12-02,2362,23
2022-12-03,1010,11
2022-12-04,663,2
2022-12-05,1725,22
2022-12-06,3452,22
2022-12-07,6544,43
2022-12-08,6957,41
2022-12-09,3043,29
2022-12-10,1506,19
2022-12-11,1189,17
2022-12-12,3085,35
2022-12-13,5216,62
2022-12-14,4764,52
2022-12-15,5281,57
2022-12-16,4007,35
2022-12-17,1576,20
2022-12-18,788,3
2022-12-19,2124,31
2022-12-20,3625,51
2022-12-21,5821,71
2022-12-22,7882,77
2022-12-23,5076,51
2022-12-24,1759,13
2022-12-25,1419,26
2022-12-26,2117,36
2022-12-27,1589,27
2022-12-28,2005,29
2022-12-29,706,15
2022-12-30,455,9
2022-12-31,335,9
2023-01-01,267,4
2023-01-02,86,1
2023-01-03,88,3
2023-01-04,232,12
2023-01-05,1265,42
2023-01-06,1370,29
2023-01-07,1045,27
2023-01-08,937,27
2023-01-09,1703,16
2023-01-10,2571,46
2023-01-11,5321,59
2023-01-12,8276,71
2023-01-13,6367,59
2023-01-14,1892,23
2023-01-15,805,10
2023-01-16,3380,56
